Bachmann, Michelle-Republican
Cain, Herman-Republican
Gingrich, Newt-Republican
Huntsman, Jon-Republican
Johnson, Gary Earl-Republican
McCotter, Thaddeus G-Republican
Obama, Barack-Democrat
Paul, Ron-Republican
Pawlenty, Timothy-Republican
Perry, Rick-Republican
Roemer, Charles E 'Buddy' III-Republican
Romney, Mitt-Republican
Santorum, Rick-Republican
